loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.094,2.3652191162109375,1.9210526315789474e-05,0.16447368421052633,25,,,,,,,,,,,
1.0496,3.5444188117980957,1.8388157894736844e-05,0.32894736842105265,50,,,,,,,,,,,
1.002,2.7796244621276855,1.7565789473684213e-05,0.4934210526315789,75,,,,,,,,,,,
0.9638,6.047205924987793,1.6743421052631582e-05,0.6578947368421053,100,,,,,,,,,,,
0.8813,7.920912742614746,1.5921052631578948e-05,0.8223684210526315,125,,,,,,,,,,,
0.8573,5.607152938842773,1.5098684210526318e-05,0.9868421052631579,150,,,,,,,,,,,
,,,1.0,152,0.8855983018875122,0.551923076923077,0.5238665424171635,0.5573,933.127,30.506,,,,,
0.757,5.801452159881592,1.4276315789473684e-05,1.1513157894736843,175,,,,,,,,,,,
0.6914,7.636327743530273,1.3453947368421055e-05,1.3157894736842106,200,,,,,,,,,,,
0.6942,9.739200592041016,1.263157894736842e-05,1.4802631578947367,225,,,,,,,,,,,
0.6373,4.416970729827881,1.1809210526315791e-05,1.6447368421052633,250,,,,,,,,,,,
0.6924,8.200767517089844,1.0986842105263157e-05,1.8092105263157894,275,,,,,,,,,,,
0.6544,6.465693473815918,1.0164473684210528e-05,1.973684210526316,300,,,,,,,,,,,
,,,2.0,304,0.7674832344055176,0.6807692307692308,0.6797323635616396,0.8989,578.491,18.912,,,,,
0.4884,6.754566669464111,9.342105263157895e-06,2.138157894736842,325,,,,,,,,,,,
0.5355,4.507612228393555,8.519736842105265e-06,2.3026315789473686,350,,,,,,,,,,,
0.4764,10.234273910522461,7.697368421052632e-06,2.4671052631578947,375,,,,,,,,,,,
0.5006,12.05134105682373,6.875e-06,2.6315789473684212,400,,,,,,,,,,,
0.466,5.506268501281738,6.0526315789473685e-06,2.7960526315789473,425,,,,,,,,,,,
0.4796,12.31171989440918,5.230263157894737e-06,2.9605263157894735,450,,,,,,,,,,,
,,,3.0,456,0.7850788235664368,0.6826923076923077,0.6803542766533152,0.4046,1285.216,42.017,,,,,
0.3591,7.768355846405029,4.407894736842105e-06,3.125,475,,,,,,,,,,,
0.3868,9.255599975585938,3.5855263157894737e-06,3.2894736842105265,500,,,,,,,,,,,
0.3571,6.544110298156738,2.7631578947368424e-06,3.4539473684210527,525,,,,,,,,,,,
0.3574,6.2733473777771,1.9407894736842107e-06,3.6184210526315788,550,,,,,,,,,,,
0.3395,6.883492946624756,1.118421052631579e-06,3.7828947368421053,575,,,,,,,,,,,
0.4226,2.4415338039398193,2.9605263157894736e-07,3.9473684210526314,600,,,,,,,,,,,
,,,4.0,608,0.8015554547309875,0.6788461538461539,0.6782397939345707,0.4434,1172.707,38.338,,,,,
,,,4.0,608,,,,,,,130.9896,74.204,4.642,222909350683104.0,0.6278644227667859
